role,company_name,hiring_badge,location,duration,stipend_perMonth
Supply Chain & Logistics Operations,Goodera,Actively hiring,Bangalore,6 Months," 15,000-20,000 "
Human Resources (HR),Think EBikeGO Private Limited,Actively hiring,Mumbai,3 Months," 10,000 "
Content Writer - Regional Language,Rupicard,Actively hiring,Bangalore,3 Months," 5,000-10,000 "
Key Account (Growth Team),Blitz,Actively hiring,Bangalore,6 Months," 25,000 "
Content Writer (SEO),Tring,Actively hiring,"Navi Mumbai, Mumbai",3 Months," 11,000 "
Weekend Event Host (Evening),Breakout,Actively hiring,Bangalore,6 Months," 3,000-4,000 "
Graphic Design,APTAGRIM CONSULTING PRIVATE LIMITED,Actively hiring,Hyderabad,6 Months," 15,000 "
Business Research,Ibus Networks And Infrastructure Pvt. Ltd,Actively hiring,Bangalore,3 Months," 10,000 "
Business Development (Sales),Fabzen Technologies Private Limited,Actively hiring,Bangalore,6 Months," 10,000 "
Content Writing,Brandshark,Actively hiring,Bangalore,3 Months," 10,000 "
Category,Meragi,Actively hiring,Bangalore,3 Months," 15,000 "
Human Resources (HR),Witness The Fitness Private Limited,Actively hiring,Noida,3 Months," 5,000 "
Program Management,Goodera,Actively hiring,Bangalore,6 Months," 30,000 "
Content Creator (Social Media),Trade Brains,Actively hiring,Bangalore,3 Months," 10,000 "
Data Entry,Ziegler Aerospace,Actively hiring,Hyderabad,6 Months," 6,000-10,000 "
Product Experience Specialist,IB Cricket,Actively hiring,Bangalore,6 Months," 15,000-20,000 "
Teaching Assistance - Electric Vehicle (Embedded Systems & MATLAB),Internshala,Actively hiring,Gurgaon,6 Months," 18,000 "
Human Resources (HR),Social Dot Hub,Actively hiring,Delhi,6 Months," 8,000 "
Event Coordinator,Meragi,Actively hiring,"Bangalore, Hyderabad",6 Months," 15,000-20,000 "
STEM Education Trainer,Anagh Technology,Actively hiring,"Surat, Navsari, Tapi",3 Months," 10,000-15,000 "
Workshop Coordinator,YourDOST Health Solutions,Actively hiring,Bangalore,6 Months," 15,000-20,000 "
Video Editor / Translator,Meri Bhumi Mera Dayitva Foundation,Actively hiring,Delhi                                                            (Hybrid),3 Months," 5,000-10,000 "
Social Media Marketing,Epesign Technologies Private Limited,Actively hiring,Bangalore,3 Months," 10,000-15,000 "
Human Resources (HR),Athena School Of Management,Actively hiring,Mumbai,2 Months," 12,000 "
Accounting & Taxation,Abhimanyu  Singhal,Actively hiring,Faridabad,3 Months," 2,000-10,000 "
Human Resources (HR),Quarks Technosoft Private Limited,Actively hiring,Noida,6 Months," 15,000 "
Strategy Officer,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months," 1,000 "
Human Resources (HR),Bezt Labs,Actively hiring,Bangalore                                                            (Hybrid),3 Months," 3,000 "
Digital Marketing,Internovo Ventures Private Limited,Actively hiring,Mumbai,6 Months," 7,000-9,000 "
UX Designer,Akaaro,Actively hiring,Gurgaon                                                            (Hybrid),1 Month," 2,000 "
UX/UI Design,APTAGRIM CONSULTING PRIVATE LIMITED,Actively hiring,Hyderabad,6 Months," 15,000 "
Catalog Management,University Living Accommodation Private Limited,Actively hiring,Noida,3 Months," 12,000 "
Product Management,Bynry Services Private Limited,Actively hiring,Pune,6 Months," 10,000 "
MS Excel (Operations),Akaaro,Actively hiring,Gurgaon                                                            (Hybrid),1 Month," 2,000 "
Human Resources (HR),Rank Revenue Digitech,Actively hiring,Work from home,2 Months," 4,000 "
Research Analyst,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months," 1,000 "
Sales Officer (SAO),Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months," 1,000 "
Law/Legal,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months," 1,000 "
Android App Development,Fabulous Media Private Limited,Actively hiring,Gurgaon,6 Months," 5,000-15,000 "
Fundraising,Jankalyan Multipurpose Education Society,Actively hiring,Work from home,1 Week,Unpaid
Social Media Marketing,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months," 1,000 "
Finance Officer,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months," 1,000 "
Finance,Millennium Money Finance,Actively hiring,Work from home,1 Month," 1,000 "
Intern Onboarding Officer,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months," 1,000 "
Content Designer,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months," 1,000 "
Illustration,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months," 1,000 "
Business Development (Sales),Stirring Minds,Actively hiring,Delhi,3 Months," 7,000 "
Sales,Flying Pigeon Solutions,Actively hiring,Jaipur,6 Weeks," 4,000-8,000 "
UI/UX Design,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months," 1,000 "
Telecalling,Flying Pigeon Solutions,Actively hiring,Jaipur,3 Months," 7,000-10,000 "
