role,company_name,hiring_badge,location,duration,stipend_perMonth
Web Developer Specialising In JS And GSAP,Vestaso,Not hiring,Work from home,3 Months," 8,000-15,000 "
Digital Marketing,Questdoor Private Limited,Not hiring,Work from home,3 Months," 8,000 "
Psychology,Knowledge Bridge Consulting Incorporated,Not hiring,"Anantapur, Puttaparthi, Vijayawada",3 Months," 4,000-8,000 "
Growth Marketing,Foundit India (formerly Monster APAC & ME),Not hiring,Bangalore,3 Months," 15,000 "
Business Development (Sales),Orbit Communications,Not hiring,"Vadodara, Mumbai",2 Months," 10,000-15,000 "
Supply Chain Management (SCM),Wakefit Innovations Private Limited,Not hiring,Bangalore,3 Months," 15,000 "
Video Editing/Making,CeDISI Partners LLP,Not hiring,Delhi,2 Months," 10,000 "
Human Resources (HR),Digital Academy 360,Not hiring,Bangalore,3 Months," 10,000 "
Lead Generation,Mradula Shet,Not hiring,Work from home,2 Months," 2,000  +  Incentives"
Flutter Development,CraftMyPlate,Not hiring,Work from home,6 Months," 5,000 "
Human Resources (HR),Rubal Bamniya,Not hiring,Noida,6 Months," 12,000 "
Video Editing/Making,Swati Awasthi,Not hiring,Work from home,6 Months," 10,000 "
Business Development (Sales),Simplifin,Not hiring,Work from home,3 Months," 3,000  +  Incentives"
Digital Marketing,EnhanceRank,Not hiring,Delhi,6 Months," 5,000 "
Human Resources (HR),Impact Analytics,Not hiring,Bangalore,6 Months," 20,000 "
Business Research,Sajan Shah,Not hiring,Ahmedabad,5 Months," 7,000 "
Quality Control,Healthline Private Limited Company,Not hiring,Bangalore,3 Months," 2,000 "
International Business Development,The Diamond Port,Not hiring,Surat,6 Months," 10,000-15,000 "
Graphic Design,Furitek Media LLP,Not hiring,Work from home,1 Month," 10,000 "
AI,ProSapiens HR,Not hiring,Hyderabad                                                            (Hybrid),6 Months," 10,000-20,000 "
Business Development (Sales),SugarStrings.ai,Not hiring,Bangalore,6 Months," 15,000 "
Service Engineer,Smartline E Commerce P Ltd,Not hiring,"Kolkata, Siliguri, Midnapore",6 Months," 7,000-12,000 "
Business Development (Sales),Sploot Private Limited,Not hiring,Gurgaon,6 Months," 10,000 "
Marketing And Sales,Insighte,Not hiring,Bangalore                                                            (Hybrid),6 Months," 6,000  +  Incentives"
Software Development,Renambl Technologies,Not hiring,Chennai,3 Months," 5,000 "
Social Media Marketing,Physiques By Vinay,Not hiring,Work from home,3 Months," 3,000-7,500 "
HR Consultant,FUTUREROLE INC,Not hiring,Bangalore,1 Month," 5,000 "
Social Media Marketing,Wilde Pattern Company,Not hiring,Mumbai,3 Months," 6,000 "
Business Development (Sales),Alchemy Capital Management Pvt Ltd,Not hiring,Mumbai,3 Months," 10,000 "
Graphic Design,Shunya Fodder & Forage Agritech Private Limited,Not hiring,"Delhi, Gurgaon",5 Months," 10,000-12,000 "
Graphic Design,Mahendhar Reddy,Not hiring,Work from home,3 Months," 12,000 "
Next.js + AWS Developer,Thinq 7,Not hiring,Work from home,1 Month," 5,000 "
Hardware Assistance,TECH TRADE SOLUTIONS,Not hiring,Pimpri-Chinchwad,6 Months," 8,000 "
Software Development,Mind Prabha Techonologies Private Limited,Not hiring,Pune,6 Months," 2,000 "
Graphic Design,Skyy Rider Electric Private Limited,Not hiring,"Bhubaneswar, Cuttack, Puri, Khordha",3 Months," 5,000 "
Social Media Marketing,Flashmind Digital,Not hiring,Mumbai                                                            (Hybrid),3 Months," 5,000 "
Video Editing/Making,Social Refuel Private Limited,Not hiring,Mumbai,6 Months," 7,000-12,000 "
Recruitment Consultant,The Intect,Not hiring,Noida,6 Months," 5,000 "
Search Engine Optimization (SEO),PolicyBazaar.com,Not hiring,Gurgaon,6 Months," 15,000 "
LinkedIn Account Management,Vijay Yadav,Not hiring,Work from home,1 Month," 4,000 "
Human Resources (HR),Asian Institute of Gastroenterology Private Limited,Not hiring,Hyderabad,6 Months," 10,000-12,000 "
Executive Assistant,Journeyteaches,Not hiring,Work from home,1 Month," 1,000 "
Digital Marketing,Click2Commission,Not hiring,Noida,3 Months," 15,000 "
Digital Marketing Tranee,SassyBranding,Not hiring,Work from home,3 Months," 3,000 "
Business Development (Sales),Junior Robo Innovations,Not hiring,Work from home,2 Months," 7,000 "
Trainee Research Associate,Talent Carriage,Not hiring,Work from home,3 Months," 4,000-10,000 "
Sales Development Representative,Giift Plus India Private Limited,Not hiring,Bangalore                                                            (Hybrid),6 Months," 20,000 "
Business Research,Invergence Analytics Pvt Ltd,Not hiring,Work from home,3 Months," 10,000 "
CS Articleship,CORPVIDHYA INSIGHT ADVISORS LLP,Not hiring,Delhi,6 Months," 5,000-7,000 "
Business Development (Sales),SOM GROUP,Not hiring,Indore,6 Months," 12,000  +  Incentives"
Social Media Marketing,SONU VIKABH,Not hiring,Mumbai                                                            (Hybrid),3 Months," 10,000 "
Email Marketing,GEMA Education Technology Private Limited,Actively hiring,Work from home,1 Month," 1,000 "
Virtual Assistant,Achyut Karol,Not hiring,Work from home,2 Months," 2,000 "
Marketing,Bharat Earn Technology Pvt. Ltd.,Not hiring,Bangalore,3 Months," 10,000 "
Content Writing,Kafirana Blogs,Not hiring,Work from home,6 Months," 5,000 "
Graphic Design,Education Gloable Et Developpement,Not hiring,Work from home,3 Months,Unpaid
Field Sales,Oqulix Pvt Ltd,Not hiring,Work from home,4 Months," 5,000  +  Incentives"
Flutter Development,Intelligentia Labs Private Limited,Not hiring,Work from home,1 Month," 20,000 "
Graphic Design,Kaushal Sharma,Not hiring,Work from home,2 Months," 10,000 "
Python/Blockchain Development,Synergic Byte,Not hiring,Work from home,5 Months," 3,000-5,000 "
Content Creator/ Video Editor,Chuki,Not hiring,Work from home,6 Months," 16,000 "
Product Management,Virtual Team,Not hiring,Work from home,1 Month," 1,000 "
Social Media Marketing,Mansi Tomar,Not hiring,Work from home,1 Month," 2,000  +  Incentives"
Sales Consultant,KRP Micro Finance,Not hiring,"Delhi, Noida",3 Months," 10,000 "
Business Development (Sales),Baselit.ai,Not hiring,Work from home,1 Month," 7,000 "
Online Marketing,Modaro Health,Not hiring,Work from home,3 Months," 10,000 "
Reactjs Development,JB CORPORATION,Not hiring,Jaipur,6 Months," 6,000-12,000 "
Business Development Executive,Moon Technolabs Private Limited,Not hiring,Ahmedabad,6 Months," 7,000 "
Social Media Marketing,Hashtag Affairs,Not hiring,Delhi                                                            (Hybrid),1 Month," 5,000-10,000 "
Law/Legal,Lawkavach,Not hiring,Bangalore                                                            (Hybrid),1 Month,Unpaid
Brand Management,NoBroker Technologies Solutions Private Limited,Not hiring,Bangalore,2 Months," 12,000 "
Business Development (Sales),Velocis Systems Private Limited,Not hiring,Bangalore,2 Months," 10,000-20,000 "
Entrepreneur Projects,DigiDarts Marketing Private Limited,Not hiring,"Faridabad, Delhi, Gurgaon, Noida",4 Months," 6,000 "
Video Editing/Making,Sameer Khatri,Not hiring,Work from home,6 Months," 5,000 "
Human Resources (HR),Traxive By Piyush Sharma,Not hiring,Work from home,3 Months," 1,000-5,000 "
Finance,Infrastructure Development Corporation (Karnataka) Limited,Not hiring,Bangalore,6 Months," 10,000 "
Game Development,Pixamentory Online Services,Not hiring,Work from home,3 Months," 10,000 "
Operations,I Deserve Life Systems LLP,Not hiring,Kolkata,6 Months," 12,000 "
Data Analytics,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months," 1,000 "
Business Analytics,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months," 1,000 "
Content Writing (Personal Branding Specialist),Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,4 Months," 10,000 "
Content & E-Commerce Management,NYRA,Not hiring,Kanpur,2 Months," 3,000-6,000 "
Social Media Marketing,Frihbi Enterprises Private Limited,Not hiring,Work from home,3 Months," 3,000 "
Author Outreach & Data Entry,Gamahouse Publishing,Actively hiring,Work from home,6 Months," 1,000 "
Human Resources (HR),Techiegigs,Not hiring,Navi Mumbai,3 Months," 5,000 "
Human Resources (HR),CollegeTips Ed Tech Media Private Limited,Not hiring,Bhopal,1 Month," 2,000-10,000 "
AWS DevOps Engineer,Triluxo Technologies Private Limited,Actively hiring,Work from home,6 Months," 1,000-3,000 "
Content Writing,Thick Accent Football,Not hiring,Work from home,2 Months," 7,000 "
Content Writing,Aza Fashions,Not hiring,Mumbai,3 Months," 15,000 "
Database Building/Management,Request IT Support,Actively hiring,Work from home,6 Months," 15,000 "
Travel Consultant,Fly Divine Travels,Not hiring,Faridabad,6 Months," 9,000-14,000 "
AWS Cloud Management,Request IT Support,Actively hiring,Work from home,6 Months," 16,000 "
Human Resources (HR),Recruitwire Services,Not hiring,Work from home,3 Months," 3,000 "
Product Testing,Request IT Support,Actively hiring,Work from home,6 Months," 18,000 "
Mobile App Development,Accurate Gems Private Limited,Not hiring,Work from home,6 Months," 3,000-5,000 "
Content Writing,Classplus (Bunch Microtechnologies Private Limited),Not hiring,Noida,6 Months," 15,000 "
Content Writing,Appjunction,Not hiring,Work from home,2 Months," 5,000 "
Digital Marketing,Make Indias,Not hiring,Varanasi,3 Months," 2,000-5,000 "
Digital Marketing,Weboin Technologies Private Limited,Not hiring,Chennai,3 Months," 5,000 "
Business Development (Sales),Wayspire Edtech Private Limited,Actively hiring,Gurgaon,6 Months," 15,000-18,000 "
Event Management,TEAMCORE EVENTS,Not hiring,"Faridabad, Delhi, Ghaziabad, Gurgaon, Greater Noida, Noida, North, West, Manesar, South, South East",1 Month," 10,000-15,000 "
Chartered Accountancy (CA),Swadhin Chhajed,Not hiring,Bangalore,24 Months," 5,000-30,000 "
Social Media Marketing,Digisteps,Not hiring,Delhi,6 Months," 6,000 "
Social Media Marketing,Teevro,Not hiring,Work from home,2 Months," 2,000-5,000 "
Graphic Design,Cityflo,Not hiring,"Thane, Mumbai",3 Months," 10,000 "
Customer Service/Customer Support,Clapingo Education,Actively hiring,Work from home,3 Months," 5,000 "
Telecalling,Coding Junior,Actively hiring,Work from home,1 Month," 2,000 "
Marketing,Coding Junior,Actively hiring,Work from home,6 Months," 10,000 "
Social Media Marketing,Hire4ITES,Not hiring,Jaipur,3 Months," 5,000 "
Human Resources (HR),Coding Junior,Actively hiring,Work from home,3 Months," 2,000 "
Field Enumerator (Baseline Study For An Agricultural Program),SocioLadder,Not hiring,"Anantapur, Guntur, Mahabubabad, Warangal, Nalgonda, Mulugu, East Godavari, Peddavura",1 Month," 5,000-15,000 "
Human Resources (HR),Felix IT Systems,Not hiring,Pune,6 Months," 12,000 "
Social Media Marketing,Square Panda,Not hiring,Mumbai,2 Months," 15,000 "
UI/UX Design,Across The Globe (ATG),Actively hiring,Work from home,6 Months," 3,000  +  Incentives"
Human Resources (HR),KIWIQA Services,Not hiring,Ahmedabad,6 Months," 7,000-10,000 "
Human Resources (HR),Universal Adventures,Actively hiring,Work from home,3 Months," 2,500 "
Yoga Teacher,Aayana Yoga Academy,Not hiring,Bangalore,6 Months," 5,000-8,000 "
Content Writing,Rydeu Logistics UG,Actively hiring,Work from home,6 Months," 6,000-8,000 "
Social Media Marketing,Wehire Talent Solutions,Actively hiring,Mumbai,3 Months," 3,000 "
Front End Development,Rydeu Logistics UG,Actively hiring,Work from home,6 Months," 10,000-12,000 "
Lead Generation,Rydeu Logistics UG,Actively hiring,Work from home,6 Months," 10,000-15,000 "
Business Strategy,Captain $ales,Not hiring,Gurgaon,3 Months," 5,000 "
Corporate Relations,Wayspire Edtech Private Limited,Actively hiring,Gurgaon,6 Months," 10,000-12,000 "
Finance & Accounting,Rydeu Logistics UG,Actively hiring,Work from home,6 Months," 10,000-12,000 "
Human Resources (HR),Wehire Talent Solutions,Actively hiring,Mumbai,3 Months," 7,000 "
Logistics And Operations,Rydeu Logistics UG,Actively hiring,Work from home,6 Months," 10,000-12,000 "
Tele Sales,Sehej And Ali Technologies,Not hiring,Work from home,3 Months," 2,000  +  Incentives"
Search Engine Optimization (SEO),Caption Home,Not hiring,Work from home,3 Months," 5,000-10,000 "
Interior Design,S  Narang Construct,Not hiring,Delhi,3 Months," 5,000 "
Company Secretary (CS),"AAS & Associates, Company Secretaries",Not hiring,Mumbai,24 Months," 8,000-12,000 "
Company Secretary (CS),PREKSH CORPSERVE LLP,Not hiring,Mumbai,24 Months," 8,000-12,000 "
Community Management,Thinnai Experiences,Not hiring,Bangalore                                                            (Hybrid),3 Months," 5,000 "
Equity Analyst,Mehta Poly Boards,Not hiring,Mumbai,6 Months," 8,000-10,000 "
Telecalling,CK And Sons Textiles,Actively hiring,Work from home,2 Months," 8,000 "
Merchandising,GreyToYellow,Not hiring,Gurgaon,3 Months," 5,000 "
Graphic Design,ONE XL INFO LLP,Actively hiring,Pune,3 Months," 5,000 "
Creative And Innovation,ONE XL INFO LLP,Actively hiring,Pune,3 Months," 5,000 "
Social Media Marketing,Park Plaza Jodhpur,Not hiring,Jodhpur,6 Months," 5,000-6,000 "
Digital Marketing,Mehta Poly Boards,Not hiring,Mumbai,6 Months," 8,000-10,000 "
Motion Graphics,NoBroker Technologies Solutions Private Limited,Not hiring,Bangalore,3 Months," 12,000 "
WordPress Development,Think Digital,Not hiring,Work from home,1 Month," 1,000-2,000 "
Architecture,Egosmart Vehicle Private Limited,Not hiring,Work from home,2 Months," 15,000 "
Business Development (Sales),Kratikal Tech Private Limited,Not hiring,Noida,6 Months," 15,000 "
Search Engine Optimization (SEO),Quantum IT Innovation,Actively hiring,Work from home,6 Months," 8,000-10,000 "
Deep Learning Engineer,APTAGRIM CONSULTING PRIVATE LIMITED,Actively hiring,Hyderabad,6 Months," 15,000 "
SEO Analyst,Quantum IT Innovation,Actively hiring,Work from home,6 Months," 8,000-10,000 "
Python Development,STOKHOS,Not hiring,Noida,2 Months," 10,000-13,000 "
Human Resources (HR),Maionic,Not hiring,Mumbai,2 Months," 10,000 "
Social Media Marketing,Physics Wallah,Actively hiring,Work from home,6 Months," 15,000 "
Full Stack Development,Pentacle Designing Solutions Pvt. Ltd.,Not hiring,Mumbai,3 Months," 10,000 "
Search Engine Optimization (SEO),Sarita Patel,Not hiring,Gurgaon,6 Months," 7,000 "
Content Writing,The Byke Hospitality,Not hiring,Mumbai,6 Months," 5,000-10,000 "
CA,Magenta EV Solutions Private Limited,Not hiring,Navi Mumbai,6 Months," 15,000-30,000 "
Video Editing/Making,Digital Labour Chowk,Not hiring,Noida,2 Months," 3,000-5,000 "
3Ds Max,Sandeep Geeta And Associates Private Limited,Not hiring,"Faridabad, Delhi, Gurgaon, Noida                                                            (Hybrid)",1 Month," 5,000 "
Search Engine Optimization (SEO),Quincare Pharmaceuticals Private Limited,Not hiring,Nagpur                                                            (Hybrid),6 Months," 2,000-5,000 "
Human Resources (HR),Capital India Finance Limited,Not hiring,Mumbai,6 Months," 10,000-15,000 "
HR Consultant,Emami Limited,Not hiring,Kolkata,6 Months," 5,000 "
Customer Service/Customer Support,NEC Corporation India Private Limited,Not hiring,Noida                                                            (Hybrid),6 Months," 10,000 "
Accounting & Bookkeeping,Hryday Enterprises,Not hiring,Mumbai,3 Months," 4,000 "
Graphic Design,Aggarwal Chemicals International,Not hiring,Work from home,3 Months," 5,000 "
Java Development,Monkhub,Actively hiring,Gurgaon,6 Months," 7,000-10,000 "
Teaching,Bricks 4 Kidz,Not hiring,Delhi,6 Months," 14,000-15,000 "
Java Development,Quarks Technosoft Private Limited,Actively hiring,Noida,6 Months," 15,000 "
Video Editing/Making,Career-Domain,Actively hiring,Work from home,3 Months," 5,000 "
Human Resources (HR),ONE XL INFO LLP,Actively hiring,Pune,6 Months," 5,000 "
Graphic Design,Homoeoneeds,Not hiring,Work from home,3 Months," 5,000-15,000 "
Business Development (Sales),SeriesX Marketing,Not hiring,Work from home,3 Months," 15,000 "
Events Audience Generation Specialist,Kestone Global,Not hiring,"Delhi, Bangalore                                                            (Hybrid)",3 Months," 18,000 "
Social Media Video Content Creator (Instagram & YouTube),Vertical Corporation,Not hiring,Work from home,6 Months," 5,000-40,000 "
Business Development (Sales),The Content Co.,Actively hiring,Work from home,3 Months," 15,000  +  Incentives"
Social Media Marketing,OceanicBridge Exports Private Limited,Not hiring,Hyderabad,3 Months," 6,000 "
Lead Generation,OfBusiness (OFB Tech Private Limited),Not hiring,Gurgaon,4 Months," 17,000-22,000 "
Full Stack Development,Imperio Railing Systems,Actively hiring,Mumbai,3 Months," 5,000 "
Finance,Integra Capital Management Limited,Not hiring,Delhi,3 Months," 5,000 "
Content Writing,Grey Mantel Communications,Not hiring,Work from home,6 Months," 3,000-8,000 "
Social Media,Ally Digital Media,Not hiring,Mumbai,6 Months," 5,000-10,000 "
Architecture,ARCHORALE DESIGN STUDIO,Not hiring,Gurgaon                                                            (Hybrid),6 Months," 5,000 "
PHP Development,INFOWAY,Not hiring,Mumbai,6 Months," 5,000-6,000 "
UI/UX Design,Tournamax,Not hiring,Work from home,3 Months," 2,000 "
Marketing,Trelish,Not hiring,Pune,3 Months," 10,000 "
Startup Analyst,Favcy,Not hiring,Delhi,3 Months," 8,000 "
Graphic Design,Maxburn Private Limited,Not hiring,Bangalore,3 Months," 15,000-20,000 "
Mobile App Development,Sensekriti Innovation Private Limited,Not hiring,Haridwar,3 Months," 5,000-10,000 "
Social Media Marketing,Edovu Ventures Private Limited,Not hiring,Gurgaon,3 Months," 8,000-12,000 "
Digital Marketing,Technocratiq Digital,Not hiring,Work from home,4 Months," 5,000 "
CI/DevOps Engineer,Secure Machines Private Limited,Not hiring,Bangalore,6 Months," 20,000 "
Telecalling,Card Expertise India Private Limited,Not hiring,Noida,5 Months," 8,000-12,000 "
Social Media Marketing,Ranbir Mukherjee,Not hiring,Mumbai,3 Months," 5,000 "
Content Creator & Digital Marketer,Whybee,Not hiring,Bangalore                                                            (Hybrid),2 Months," 10,000-15,000 "
Marketing,Optimed Corporation,Not hiring,Mumbai,3 Months," 7,000 "
Social Media Marketing,Learning Routes,Not hiring,Gurgaon,3 Months," 5,000 "
Talent Acquisition,Value Jobs Consulting Private Limited,Not hiring,Delhi,2 Months," 10,000 "
Data Analytics,Arcatron Mobility Private Limited,Actively hiring,Pune,3 Months," 20,000 "
Marketing,O Hi,Not hiring,Jaipur,3 Months," 12,000-15,000 "
Content Development (English),Scoopearth,Not hiring,Work from home,2 Months," 3,000 "
Social Media Marketing,Kush Nagda,Not hiring,Work from home,6 Months," 2,000 "
Digital Marketing,Choira Musictech Private Limited,Not hiring,Mumbai,3 Months," 5,000 "
Digital Marketing,Navjot64,Not hiring,Work from home,2 Months," 2,000 "
Business Development (Sales),Arcelton,Not hiring,"Thane, Mumbai                                                            (Hybrid)",2 Months," 8,000-15,000 "
Administration,Weblingos Technologies,Not hiring,Work from home,3 Months," 5,000 "
Reactjs Development,QuadB Tech,Actively hiring,Ludhiana,6 Months," 10,000 "
Business Development For Film Production House,S17.Film,Not hiring,Mumbai                                                            (Hybrid),3 Months," 10,000 "
Digital Marketing,QPe,Not hiring,"Faridabad, Delhi, Gurgaon",6 Months," 8,000 "
Full Stack Development,Sobonix Solutions Private Limited,Not hiring,"Chandigarh, Delhi, Kurukshetra, Punjab, Himachal Pradesh",6 Months," 5,000 "
Business Development (Sales),SageBhrigu,Not hiring,Work from home,3 Months," 5,000  +  Incentives"
Flutter Development,CapriTech Global Services Private Limited,Not hiring,Mumbai,6 Months," 7,000 "
Data Entry,vCommission Media Private Limited,Not hiring,Mohali,6 Months," 10,000 "
Business Development (Sales),Kunal Jain,Not hiring,Work from home,2 Months," 4,000 "
Copywriting,Microblank,Not hiring,Work from home,1 Month, 250 /week +  Incentives
Content Development (English),Fixsnag Enterprises Private Limited,Not hiring,Bangalore                                                            (Hybrid),5 Months," 5,000  +  Incentives"
Videography,Cyberninza Services,Not hiring,Gurgaon                                                            (Hybrid),6 Months," 15,000 "
Web Development,The Solution Providers,Not hiring,Work from home,1 Month," 1,000  +  Incentives"
Software Development,Heel Tech Solutions,Not hiring,Vijayawada,6 Months," 2,000  +  Incentives"
Social Media,Indian Investing Conclave,Not hiring,Delhi,2 Months," 15,000 "
Social Media Marketing,ViralEdits,Not hiring,Work from home,5 Months," 1,000 "
Marketing,Formett F & B Private Limited,Not hiring,Jaipur,3 Months," 5,000 "
Video Editing/Making,Ignitize Consulting Services Private Limited,Not hiring,Gurgaon,6 Months," 15,000-20,000 "
Logistics And Operations,Kishor Kalyanji Corp LLP,Not hiring,Mumbai,3 Months," 12,000 "
Architecture Content Writer,Kubo Architecture Studio,Not hiring,Work from home,2 Months," 5,000 "
Photography/Videography,Athul Prasda,Not hiring,Mumbai                                                            (Hybrid),3 Months," 15,000 "
Content Writing,Shorthills AI,Not hiring,Gurgaon,6 Months," 11,000 "
Project Management,Ritinjali,Not hiring,Delhi                                                            (Hybrid),3 Months," 4,000 "
Marketing Analyst,AdLift Marketing Private Limited,Not hiring,Gurgaon,3 Months," 12,000 "
Graphic Design,Thinkerplace Private Limited,Not hiring,Mumbai,3 Months," 3,000-10,000 "
Search Engine Optimization (SEO),DigiFly Technology(OPC) Private Limited,Not hiring,Gurgaon                                                            (Hybrid),6 Months," 15,000 "
Content Creation,PriceLabs,Actively hiring,Work from home,6 Months," 15,000 "
Business Development (Sales),Easemyliving.com,Not hiring,Work from home,3 Months," 8,000  +  Incentives"
Email Marketing,Quantum IT Innovation,Actively hiring,Work from home,6 Months," 8,000-10,000 "
Front Office,AGR Knowledge Services Private Limited,Not hiring,Sion Koliwada,3 Months," 15,000 "
Accounting & Bookkeeping,Kabia Investment Managers,Not hiring,Noida                                                            (Hybrid),6 Months," 5,000 "
Node.js Development,Quarks Technosoft Private Limited,Actively hiring,Noida,6 Months," 15,000 "
Sales Executive,Capture Art,Not hiring,Work from home,6 Months," 10,000 "
Business Development (Sales),Data Alt Dynamics,Not hiring,Delhi,6 Months," 10,000  +  Incentives"
Human Resources (HR),Plus IT Business Park,Not hiring,Thrissur,1 Month," 5,000-7,000 "
Business Development (Sales),Pankhuri,Not hiring,Work from home,3 Months," 5,000 "
UI/UX Design,CodeInterns,Actively hiring,Work from home,1 Month," 1,000 "
Marketing,Arise,Not hiring,Delhi,4 Months," 3,500 "
Business Development (Sales),Brandmingo Media Private Limited,Not hiring,Noida,6 Months," 6,000-10,000 "
Marketing,Pinacle Web India,Not hiring,Work from home,3 Months," 3,000  +  Incentives"
Performance Marketing - FB & Google Ads,Value Properties,Not hiring,Work from home,3 Months," 12,000 "
Animation,The Designer Amma,Not hiring,Work from home,3 Months," 6,000 "
Business Development (Sales),Unifynd Technologies,Not hiring,Mumbai,3 Months," 10,000 "
Content Writing,Valasys Media,Not hiring,Pune,3 Months," 15,000 "
Company Secretary (CS),S. RAJWANSHI AND CO.,Not hiring,Delhi,12 Months," 5,000-6,000 "
Media & Public Relations (PR),PR Ways,Not hiring,Work from home,4 Months," 3,000-7,000 "
Content Writing,Mind Oriented,Not hiring,Work from home,6 Months," 2,000 "
Flutter Development,Mind Prabha Techonologies Private Limited,Not hiring,Pune,6 Months," 2,000 "
Digital Marketing,Sinope Software,Not hiring,Bangalore,4 Months," 6,000-15,000 "
Digital Marketing,Dataplatr,Not hiring,Bangalore                                                            (Hybrid),6 Months," 10,000 "
Talent Acquisition,ET Media Labs,Not hiring,Noida,6 Months," 10,000 "
Digital Marketing,V Digitize U,Not hiring,Work from home,6 Months," 5,000 "
Business Development (Sales),UltraGenius Tech Private Limited,Not hiring,Work from home,3 Months," 5,000-20,000 "
Digital Marketing,Samriddh Vyapar,Not hiring,Delhi,3 Months," 3,000 "
Growth Intern,DigitalPaani,Not hiring,Gurgaon,3 Months," 10,000 "
Accounting & Taxation,AMM Public School,Not hiring,"Ghaziabad, Modinagar                                                            (Hybrid)",2 Months," 6,000 "
Human Resources (HR),APSK Production & Entertainment Private Limited,Actively hiring,Noida,3 Months," 5,000-7,000 "
Graphic Design,Achievers Brigade,Not hiring,Work from home,4 Months," 1,000  +  Incentives"
Demand Generation Speciaist,Wocom Technologies Private Limited,Not hiring,Faridabad,6 Months," 10,000-12,000 "
Social Media Marketing,StartupGyaan,Not hiring,Delhi                                                            (Hybrid),4 Months," 8,000-10,000 "
Corporate Sales,APC CREATIONS,Not hiring,Delhi                                                            (Hybrid),3 Months," 5,000 /week"
Lead Generation,Light Clothing,Not hiring,Work from home,1 Month," 1,000  +  Incentives"
Content Writing,TradeHike Consulting,Actively hiring,Delhi                                                            (Hybrid),3 Months," 10,000 "
Project Management,Rousing Designs,Not hiring,Bangalore                                                            (Hybrid),6 Months," 10,000 "
Content Writing,Flipshope,Not hiring,Jaipur,6 Months," 10,000 "
Human Resources (HR),Pureplay Skin Sciences (I) Private Limited,Not hiring,Thane,3 Months," 12,000 "
UI/UX Design,SuprDine,Not hiring,Work from home,2 Months," 1,500 "
Business Development (Sales),Oratrics The Personality School,Not hiring,Work from home,2 Months," 10,000 "
Fundraising,Muskurahat Foundation,Actively hiring,Work from home,1 Month," 5,000-10,000 lump sum"
Marketing,Muskurahat Foundation,Actively hiring,Work from home,1 Month," 5,000-10,000 lump sum"
Telecalling,Bits And Bytes,Not hiring,Kalyan,6 Months," 7,000 "
Inside Sales,OpsTree,Not hiring,Work from home,3 Months," 8,000-14,000 "
Digital Marketing,Impact Digital Services Private Limited,Not hiring,Delhi,6 Months," 10,000 "
Finance,A S Financial Services,Not hiring,Chandigarh,6 Months," 8,000-10,000 "
Human Resources (HR),Hamsi Marketing Private Limited,Not hiring,Hyderabad                                                            (Hybrid),4 Months," 3,000-8,000 "
Business Development (Sales),Etsah Groupe,Not hiring,Hyderabad,5 Months," 5,000-10,000 "
Business Development (Sales),Network Smith Private Limited,Not hiring,Delhi                                                            (Hybrid),3 Months, 500 /week +  Incentives
Business Development (Sales),Mindcell,Not hiring,"Thane, Mumbai",1 Month," 8,000-15,000 "
Business Development (Sales),DOC-Q,Not hiring,Work from home,3 Months," 3,000-4,000 "
Content Writing,Atom11,Not hiring,Bangalore                                                            (Hybrid),6 Months," 25,000-30,000 "
SEO Content Writer,RK & Co,Actively hiring,Work from home,4 Months," 7,500 "
CA Articleship,Shishir Gupta And Company,Not hiring,Dehradun,12 Months," 5,000-8,000 "
Interior Design,Ruchi's Design Studio - Kajal Panjwani,Not hiring,Work from home,6 Months," 5,000-8,000 "
Content Writing,Brands Elevator,Not hiring,Work from home,6 Months," 1,000 "
Accounting & Taxation,Entire Experts Private Limited,Not hiring,Greater Noida,6 Months," 5,000 "
Article Writing,Careers360,Actively hiring,Work from home,3 Months," 20,000 "
Architecture,Rajwada Luxury,Not hiring,Noida                                                            (Hybrid),4 Months," 5,000 "
Graphic Design,Pereyan LLP,Actively hiring,Bangalore,6 Months," 10,000-15,000 "
Business Development (Sales),Digital Darts,Not hiring,Work from home,3 Months," 5,000 "
Robotics,Techprolabz,Not hiring,Patna,2 Months," 8,000-10,000 "
Marketing Specialist – Client Acquisition (Content Sales),TechQuesto Labs Private Limited,Not hiring,Work from home,2 Months," 1,000  +  Incentives"
Marketing,MediaHolicss,Not hiring,Work from home,3 Months," 1,000 lump sum +  Incentives"
Business Development (Sales),AGS Infra,Not hiring,Greater Noida                                                            (Hybrid),3 Months," 8,000-12,000 "
Content Creator & Editor,Eazynomics,Not hiring,Work from home,3 Months," 5,000-10,000 "
Telecalling,Abstract Digital World Private Limited,Not hiring,"Thane, Navi Mumbai, Mumbai",3 Months," 5,000 "
Content Writing,YMGrad,Not hiring,Delhi,3 Months," 15,000-20,000 "
Executive Assistant-Founders Office,Carenow Healthcare Private Limited,Not hiring,Kolkata,3 Months," 15,000-20,000 "
Graphic Design,Amrit Raj,Not hiring,Work from home,6 Months," 10,000 "
Digital Marketing,Greenium,Not hiring,Delhi,6 Months," 10,000 "
Psychology,United Well-Being Foundation,Not hiring,Work from home,6 Months,Unpaid
Python Development,Nihal Software,Actively hiring,Gurgaon,1 Month," 2,500-15,000 "
